s,p,d,c,o,id,n,Long,Lat
low,24,2468,212,KRAK,150190180,JELEŃ,19.239722222222223,50.16111111111111
low,12,1215,2134,KRAK,149190290,JORDANÓW,19.83,49.63638888888889
low,18,1821,221,KRAK,149220110,KALNICA,22.429166666666667,49.18888888888888
low,16,1603,117,WROC,150180010,KAMIONKA,18.0425,50.39111111111111
low,02,0220,14,WROC,151160220,KANCLERZOWICE,16.95611111111111,51.453611111111115
low,12,1204,215,KRAK,150200150,KARSY,20.77472222222222,50.275
low,12,1207,2138,KRAK,149200040,KASINKA MAŁA,20.0325,49.70472222222222
low,14,1436,236,SOWR,151210080,KAZANÓW,21.466666666666665,51.27333333333333
low,14,1419,273,SOWR,152190120,KĘPA POLSKA,19.96333333333333,52.43138888888889
low,12,1205,218,KRAK,149210030,KLĘCZANY,21.216666666666665,49.70138888888889
low,18,1820,219,KRAK,150210150,KOŁO,21.511111111111113,50.50472222222222
low,16,1601,12,WROC,150170100,KOPICE,17.47833333333333,50.64555555555555
low,22,2212,46,GDYN,154160120,KORZYBIE,16.878333333333334,54.28055555555555
low,12,1217,2141,KRAK,149190300,KOŚCIELISKO-KIRY,19.868055555555557,49.27583333333333
low,06,0614,24,KRAK,151220010,KOŚMIN,22.00138888888889,51.573055555555555
low,24,2401,212,KRAK,150180270,KOZŁOWA GÓRA,18.971944444444443,50.41222222222222
low,18,1805,218,KRAK,149210050,KRAJOWICE,21.412499999999998,49.77222222222222
low,02,0219,134,WROC,150160120,KRASKÓW,16.583888888888886,50.91555555555556
low,06,0606,24,KRAK,150230040,KRASNYSTAW,23.17666666666667,50.98527777777778
low,32,3209,46,GDYN,154160090,KRĄG,16.723055555555554,54.24277777777778
low,18,1805,218,KRAK,149210090,KREMPNA-KOTAŃ,21.484166666666667,49.51638888888889
low,24,2409,181,POZN,150190240,KRĘCIWILK,19.37027777777778,50.54527777777778
low,18,1861,226,KRAK,149210110,KROSNO,21.77472222222222,49.693888888888885
low,12,1211,2141,KRAK,149200160,KROŚCIENKO,20.429444444444446,49.44166666666666
low,18,1801,76,KRAK,149220170,KROŚCIENKO,22.662777777777777,49.473055555555554
low,18,1862,224,KRAK,149220200,KRÓWNIKI,22.823055555555555,49.76694444444444
low,24,2413,118,WROC,150180190,KRUPSKI MŁYN,18.624444444444446,50.571111111111115
low,06,0604,267141,KRAK,150240020,KRYŁÓW,24.0625,50.67722222222222
low,06,0620,24,KRAK,150230030,KRZAK,23.104444444444447,50.802499999999995
low,12,1209,2138,KRAK,149190350,KRZCZONÓW,19.953888888888887,49.736666666666665
lowOutdated,06,0601,267145,KRAK,152230080,KRZYCZEW,23.499166666666667,52.14694444444444
low,24,2411,115,WROC,149180010,KRZYŻANOWICE,18.287222222222223,49.993611111111115
low,02,0208,9,WROC,150160040,KUDOWA-ZDRÓJ-ZAKRZE,16.24388888888889,50.43083333333333
low,24,2406,181,POZN,151190010,KULE,19.048055555555557,51.04277777777778
lowOutdated,32,3204,42,GDYN,153150030,KULICE,15.168333333333333,53.66
low,26,2607,234,KRAK,150210090,KUNÓW,21.278888888888886,50.96194444444445
low,24,2401,212,KRAK,150190210,KUŹNICA SULIKOWSKA,19.272777777777776,50.45305555555556
low,22,2201,46,GDYN,154170040,KWISNO,17.130277777777778,54.085
low,02,0208,12,WROC,150160230,LĄDEK-ZDRÓJ,16.87027777777778,50.34666666666667
low,18,1821,221,KRAK,149220060,LESKO,22.322222222222223,49.469166666666666
